,AidData TUFF Project ID,city_temp_id,region_temp_id,country_id
2057,20963.0,42,,115
2058,56910.0,2,,Non
2059,31785.0,159,,125
2060,64674.0,137,,096
2061,64677.0,138,,096
2062,64678.0,139,,096
2063,64679.0,140,,096
2064,64862.0,141,,096
2065,65044.0,142,,096
2066,67366.0,143,,096
2067,69183.0,18,,029
2068,44156.0,344,,015
2069,44157.0,13,,031
2070,70120.0,44,,233
2071,54882.0,20,,032
2072,42179.0,134,,182
2073,42183.0,135,,182
2074,42949.0,136,,182
2075,43266.0,137,,182
2076,31312.0,33,,126
2077,34144.0,34,,126
2078,37409.0,95,,020
2079,37415.0,96,,020
2080,40.0,33,,097
2081,46.0,34,,097
2082,58633.0,3412,,021
2083,21687.0,32,,071
2084,32119.0,63,,226
2085,32156.0,64,,226
2086,32161.0,65,,226
2087,32168.0,66,,226
2088,32180.0,67,,226
2089,32195.0,68,,226
2090,61673.0,69,,226
2091,63035.0,70,,226
2092,314.0,67,,127
2093,31888.0,68,,127
2094,59618.0,69,,127
2095,34168.0,32,,128
2096,32656.0,40,,129
2097,34153.0,41,,129
2098,21627.0,14,,099
2099,30201.0,54,,100
2100,36334.0,55,,100
2101,37266.0,30,,039
2102,70500.0,31,,039
2103,66425.0,41,,072
2104,44158.0,100,,040
2105,69972.0,36,,040
2106,63945.0,50,,240
2107,86331.0,51,,240
2108,19114.0,125,,101
2109,53507.0,126,,101
2110,59091.0,127,,101
2111,59429.0,128,,101
2112,59430.0,129,,101
2113,59431.0,130,,101
2114,59484.0,131,,101
2115,85286.0,132,,101
2116,20000.0,23,,139
2117,39831.0,20,,042
2118,63347.0,21,,042
2119,30970.0,115,,140
2120,30971.0,116,,140
2121,41017.0,117,,140
2122,60529.0,118,,140
2123,34170.0,26,,130
2124,62082.0,27,,130
2125,62256.0,28,,130
2126,30533.0,26,,141
2127,35438.0,27,,141
2128,980.0,102,,142
2129,1438.0,103,,142
2130,31313.0,104,,142
2131,41923.0,34,,026
2132,64742.0,35,,026
2133,60752.0,35,,102
2134,67000.0,47,,186
2135,1912.0,49,,074
2136,2102.0,50,,074
2137,31426.0,44,,076
2138,64455.0,45,,076
2139,32434.0,20,,077
2140,54346.0,443,,194
2141,38546.0,204,,216
2142,38600.0,205,,216
2143,38601.0,206,,216
2144,38610.0,207,,216
2145,38611.0,208,,216
2146,61681.0,209,,216
2147,62054.0,210,,216
2148,67236.0,211,,216
2149,73314.0,212,,216
2150,43350.0,38,,050
2151,40241.0,149,,211
2152,54066.0,150,,211
2153,61056.0,151,,211
2154,947.0,108,,103
2155,1267.0,109,,103
2156,16392.0,110,,103
2157,46348.0,55,,212
2158,33816.0,63,,227
2159,64756.0,64,,227
2160,64757.0,65,,227
2161,64760.0,66,,227
2162,85326.0,67,,227
2163,65642.0,19,,147
2164,35258.0,18,,104
2165,1713.0,49,,078
2166,30736.0,50,,078
2167,34175.0,43,,119
2168,776.0,59,,105
2169,829.0,60,,105
2170,23366.0,61,,105
2171,23385.0,62,,105
2172,58150.0,63,,105
2173,43848.0,51,,228
2174,62385.0,52,,228
2175,66615.0,53,,228
2176,73574.0,54,,228
2177,59516.0,47,,079
2178,32980.0,4,,080
2179,36188.0,33,,080
2180,1156.0,11,,120
2181,14352.0,12,,120
2182,34155.0,13,,120
2183,72885.0,14,,120
2184,40012.0,16,,244
2185,40023.0,5,,244
2186,44325.0,15,,189
2187,1222.0,20,,107
2188,21389.0,20,,107
2189,73237.0,43,,108
2190,38347.0,69,,198
2191,38389.0,70,,198
2192,32660.0,83,,134
2193,42283.0,82,,178
