id,country,confucius_institute,partner_uni,status,location_alt
384,Sudan,Confucius Institute at the University of Khartoum,,Closed,
385,Suriname,Confucius Institute at the Anton de Kom University of Suriname,,Closed,Anton de Kom University ADEK
386,Sweden,Borlange-Wuhan Friendship City Confucius Institute,,Closed,
387,Sweden,Confucius Institute in Lulea,,Closed,
388,Switzerland,Confucius Institute at the University of Basel,,Closed,
389,Switzerland,Confucius Institute in Geneva,,Open,
390,Tajikistan,Confucius Institute at Mining metallurgical Institute of Tajikistan,,Closed,Institute of Tajikistan
391,Tajikistan,Confucius Institute at Tajik National University,,Closed,
392,Tanzania,Confucius Institute at the University of Dar es Salaam,,Closed,
393,Tanzania,Confucius Institute at the University of Dodoma,,Closed,
394,Thailand,Confucius Institute at Assumption University,,Open,
395,Thailand,Confucius Institute at Bansomdejchaopraya Rajabhat University,,Closed,
396,Thailand,Confucius Institute at Burapha University,,Closed,
397,Thailand,Confucius Institute at Chiang Mai University,,Closed,
398,Thailand,Confucius Institute at Chulalongkorn University,,Closed,
399,Thailand,Confucius Institute at Kasetsart University,,Closed,
400,Thailand,Confucius Institute at Khon Kaen University,,Closed,
401,Thailand,Confucius Institute at Mae Fah Luang University,,Closed,
402,Thailand,Confucius Institute at Mahasarakham University,,Closed,
403,Thailand,"Confucius Institute at Phuket, Prince of Songkla University",,Closed,
404,Thailand,Confucius Institute at Prince of Songkla University,,Open,
405,Thailand,Confucius Institute for Traditional Chinese Medicine at Huachiew Chalermprakiet,,Closed,
406,Thailand,Confucius Institute of Betong Municipality,,Open,
407,Thailand,Confucius Institute of Suan Dusit Rajabhat University at Suphanburi,,Closed,
408,Thailand,Maritime Silk Road Confucius Institute at Phranakhon Rajabhat University,,Closed,
409,Thailand,Maritime Silk Road Confucius Institute at Phranakhon Rajabhat University,,Closed,
410,Togo,Confucius Institute at University of Lome,,Closed,
411,Trinidad and Tobage,"Confucius Institute at the University of the West Indies, St. Augustine Campus",,Open,
412,Tunisia,Confucius Institute at University of Carthage,,Closed,
413,Turkey,Confucius Institute at Bogazici University,,Open,
414,Turkey,Confucius Institute at Middle East Technical University,,Closed,
415,Turkey,Confucius Institute at Okan University,,Closed,
416,Turkey,Confucius Institute at Yeditepe University,,Closed,
417,Uganda,Confucius Institute at Makerere University,,Closed,
418,Ukraine,Confucius Institute at Kharkiv State University,,Closed,
419,Ukraine,Confucius Institute at Kiev State Linguistic University,,Closed,
420,Ukraine,Confucius Institute at Luhansk National Pedagogical University,,Open,
421,Ukraine,Confucius Institute at National Taras Shevchenko University of Kyiv,,Closed,
422,Ukraine,Confucius Institute at South Ukranian National Pedagogical University,,Closed,
423,Ukraine,Confucius Institute at Vinnytsia National Technical University,,Closed,
424,United Arab Emirates,Confucius Institute University of Dubai,,Closed,
425,United Arab Emirates,Confucius Institute at Zayed University,,Closed,
426,United Kingdom,Business Confucius Institute at the University of Leeds,,Closed,
